orthodontic treatment,treatment,care,work,activity
orthoptics,treatment,care,work,activity
osteopathy,treatment,care,work,activity
osteoclasis,treatment,care,work,activity
acupuncture,treatment,care,work,activity
acupressure,treatment,care,work,activity
autogenic therapy,treatment,care,work,activity
hydropathy,treatment,care,work,activity
rest-cure,treatment,care,work,activity
scam,swindle,fraud,crime,transgression
molestation,sexual assault,statutory offense,crime,transgression
commercial bribery,bribery,felony,crime,transgression
embezzlement,larceny,felony,crime,transgression
fraud in law,constructive fraud,fraud,crime,transgression
bunco,swindle,fraud,crime,transgression
pyramiding,swindle,fraud,crime,transgression
swiz,swindle,fraud,crime,transgression
shell game,swindle,fraud,crime,transgression
pilferage,larceny,felony,crime,transgression
shoplifting,larceny,felony,crime,transgression
robbery,larceny,felony,crime,transgression
biopiracy,larceny,felony,crime,transgression
grand larceny,larceny,felony,crime,transgression
petit larceny,larceny,felony,crime,transgression
housebreaking,burglary,felony,crime,transgression
joint venture,venture,undertaking,work,activity
forlorn hope,enterprise,undertaking,work,activity
primary censorship,armed forces censorship,military censorship,censoring,counterintelligence
secondary censorship,armed forces censorship,military censorship,censoring,counterintelligence
aikido,martial art,self-defense,protection,activity
judo,martial art,self-defense,protection,activity
jujutsu,martial art,self-defense,protection,activity
ninjutsu,martial art,self-defense,protection,activity
karate,martial art,self-defense,protection,activity
kung fu,martial art,self-defense,protection,activity
tae kwon do,martial art,self-defense,protection,activity
t'ai chi,martial art,self-defense,protection,activity
gasp,inhalation,breath,bodily process,organic process
coprophagy,eating,consumption,bodily process,organic process
dining,eating,consumption,bodily process,organic process
feasting,eating,consumption,bodily process,organic process
lunching,eating,consumption,bodily process,organic process
supping,eating,consumption,bodily process,organic process
necrophagia,eating,consumption,bodily process,organic process
omophagia,eating,consumption,bodily process,organic process
scatophagy,eating,consumption,bodily process,organic process
fuck,sexual intercourse,sexual activity,bodily process,organic process
hank panky,sexual intercourse,sexual activity,bodily process,organic process
unlawful carnal knowledge,sexual intercourse,sexual activity,bodily process,organic process
coitus interruptus,birth control,planning,preparation,activity
natural family planning,birth control,planning,preparation,activity
contraception,birth control,planning,preparation,activity
caressing,foreplay,sexual activity,bodily process,organic process
masturbation,autoeroticism,sexual activity,bodily process,organic process
one-night stand,promiscuity,sexual activity,bodily process,organic process
lesbianism,homosexuality,sexual activity,bodily process,organic process
maximization,mathematical process,calculation,procedure,activity
exponentiation,mathematical process,calculation,procedure,activity
arithmetic operation,mathematical process,calculation,procedure,activity
matrix operation,mathematical process,calculation,procedure,activity
succussion,auscultation,diagnostic procedure,procedure,activity
life class,art class,course,education,activity
angiography,roentgenography,diagnostic procedure,procedure,activity
arthrography,roentgenography,diagnostic procedure,procedure,activity
cholangiography,roentgenography,diagnostic procedure,procedure,activity
encephalography,roentgenography,diagnostic procedure,procedure,activity
myelography,roentgenography,diagnostic procedure,procedure,activity
pyelography,roentgenography,diagnostic procedure,procedure,activity
radiophotography,telephotography,transmission,sending,causing
erecting,construction,creating from raw materials,creation,activity
house-raising,construction,creating from raw materials,creation,activity
dry walling,construction,creating from raw materials,creation,activity
road construction,construction,creating from raw materials,creation,activity
shipbuilding,construction,creating from raw materials,creation,activity
writing,verbal creation,creating by mental acts,creation,activity
approach,conceptualization,creating by mental acts,creation,activity
framing,conceptualization,creating by mental acts,creation,activity
fetoscopy,prenatal diagnosis,diagnostic procedure,procedure,activity
alcohol abuse,substance abuse,misuse,use,activity
battle,military action,group action,event,psychological feature
blockade,military action,group action,event,psychological feature
defense,military action,group action,event,psychological feature
electronic warfare,military action,group action,event,psychological feature
police action,military action,group action,event,psychological feature
saber rattling,military action,group action,event,psychological feature
class struggle,conflict,group action,event,psychological feature
rustling,larceny,felony,crime,transgression
sortie,military action,group action,event,psychological feature
war,military action,group action,event,psychological feature
over-the-shoulder bombing,loft bombing,bombing run,bombing,attack
mammothermography,thermography,diagnostic procedure,procedure,activity
lockstep,standing operating procedure,operating procedure,procedure,activity
Seder,supper,meal,nutriment,food
rite of passage,ritual,custom,practice,activity
concubinage,cohabitation,inhabitancy,occupancy,residency
mingling,social activity,group action,event,psychological feature
commerce,transaction,group action,event,psychological feature
business activity,enterprise,undertaking,work,activity
operations,transaction,group action,event,psychological feature
deal,transaction,group action,event,psychological feature
downtick,transaction,group action,event,psychological feature
uptick,transaction,group action,event,psychological feature
auto limitation,social control,group action,event,psychological feature
population control,social control,group action,event,psychological feature
enforcement,social control,group action,event,psychological feature
domination,social control,group action,event,psychological feature
duty,social control,group action,event,psychological feature
management,social control,group action,event,psychological feature
countercoup,coup d'etat,group action,event,psychological feature
appeasement,social control,group action,event,psychological feature
denationalization,social control,group action,event,psychological feature
detribalization,social control,group action,event,psychological feature
discrimination,social control,group action,event,psychological feature
mobilization,social control,group action,event,psychological feature
demobilization,social control,group action,event,psychological feature
punishment,social control,group action,event,psychological feature
tug-of-war,conflict,group action,event,psychological feature
turf war,conflict,group action,event,psychological feature
proceeding,due process,group action,event,psychological feature
presentment,due process,group action,event,psychological feature
teamwork,cooperation,group action,event,psychological feature
collaboration,cooperation,group action,event,psychological feature
compromise,cooperation,group action,event,psychological feature
reconciliation,cooperation,group action,event,psychological feature
nonappearance,nonattendance,group action,event,psychological feature
truancy,nonattendance,group action,event,psychological feature
feud,conflict,group action,event,psychological feature
neutrality,non-engagement,group action,event,psychological feature
beast of burden,work animal,animal,organism,living thing
draft animal,work animal,animal,organism,living thing
feeder,domestic animal,animal,organism,living thing
stocker,domestic animal,animal,organism,living thing
hatchling,young,animal,organism,living thing
by-catch,marine animal,animal,organism,living thing
young mammal,young,animal,organism,living thing
archaebacteria,moneran,microorganism,organism,living thing
acidophil,bacteria,microorganism,organism,living thing
probiotic,bacteria,microorganism,organism,living thing
bacteroid,bacteria,microorganism,organism,living thing
bacteria species,species,taxonomic group,biological group,group
eubacteria,bacteria,microorganism,organism,living thing
Calymmatobacterium,bacteria,microorganism,organism,living thing
Francisella,bacteria,microorganism,organism,living thing
gonococcus,bacteria,microorganism,organism,living thing
Legionella pneumophilia,bacteria,microorganism,organism,living thing
nitrobacterium,bacteria,microorganism,organism,living thing
penicillin-resistant bacteria,bacteria,microorganism,organism,living thing
pus-forming bacteria,bacteria,microorganism,organism,living thing
diplococcus,bacteria,microorganism,organism,living thing
protozoan,protoctist,microorganism,organism,living thing
alga,protoctist,microorganism,organism,living thing
chlorophyll,pigment,coloring material,material,substance
bacteriochlorophyll,pigment,coloring material,material,substance
phycobilin,pigment,coloring material,material,substance
phycoerythrin,pigment,coloring material,material,substance
phycocyanin,pigment,coloring material,material,substance
flame cell,excretory organ,internal organ,organ,body part
spawn,egg,ovum,gamete,reproductive cell
germ layer,embryonic tissue,animal tissue,tissue,body part
silkworm seed,egg,ovum,gamete,reproductive cell
cephalochordate,chordate,animal,organism,living thing
tunicate,chordate,animal,organism,living thing
ascidian tadpole,larva,animal,organism,living thing
vertebrate,chordate,animal,organism,living thing
young bird,young,animal,organism,living thing
arthropod,invertebrate,animal,organism,living thing
down,feather,animal material,material,substance
aftershaft,feather,animal material,material,substance
contour feather,feather,animal material,material,substance
bastard wing,feather,animal material,material,substance
hackle,feather,animal material,material,substance
guard hair,hair,body covering,covering,natural object
mane,hair,body covering,covering,natural object
zoophyte,invertebrate,animal,organism,living thing
Parazoa,subkingdom,taxonomic group,biological group,group
Metazoa,subkingdom,taxonomic group,biological group,group
coelenterate,invertebrate,animal,organism,living thing
ctenophore,invertebrate,animal,organism,living thing
worm,invertebrate,animal,organism,living thing
woodborer,invertebrate,animal,organism,living thing
bladder worm,larva,animal,organism,living thing
cercaria,larva,animal,organism,living thing
rotifer,invertebrate,animal,organism,living thing
mollusk,invertebrate,animal,organism,living thing
craw,stomach,internal organ,organ,body part
dog,domestic animal,animal,organism,living thing
domestic cat,domestic animal,animal,organism,living thing
stray,domestic animal,animal,organism,living thing
wireworm,larva,animal,organism,living thing
mealworm,larva,animal,organism,living thing
flea,ectoparasite,parasite,organism,living thing
superbug,bacteria,microorganism,organism,living thing
aphid lion,larva,animal,organism,living thing
hellgrammiate,larva,animal,organism,living thing
caseworm,larva,animal,organism,living thing
caterpillar,larva,animal,organism,living thing
leptocephalus,larva,animal,organism,living thing
bot,larva,animal,organism,living thing
phoronid,invertebrate,animal,organism,living thing
bryozoan,invertebrate,animal,organism,living thing
ectoproct,invertebrate,animal,organism,living thing
entoproct,invertebrate,animal,organism,living thing
Symbion pandora,invertebrate,animal,organism,living thing
brachiopod,invertebrate,animal,organism,living thing
peanut worm,invertebrate,animal,organism,living thing
echinoderm,invertebrate,animal,organism,living thing
filly,female,animal,organism,living thing
rumen,stomach,internal organ,organ,body part
psalterium,stomach,internal organ,organ,body part
abomasum,stomach,internal organ,organ,body part
hind limb,limb,extremity,external body part,body part
forelimb,limb,extremity,external body part,body part
flight feather,feather,animal material,material,substance
scapular,feather,animal material,material,substance
tadpole,larva,animal,organism,living thing
western lowland gorilla,gorilla,great ape,anthropoid ape,ape
eastern lowland gorilla,gorilla,great ape,anthropoid ape,ape
mountain gorilla,gorilla,great ape,anthropoid ape,ape
silverback,gorilla,great ape,anthropoid ape,ape
western chimpanzee,chimpanzee,great ape,anthropoid ape,ape
eastern chimpanzee,chimpanzee,great ape,anthropoid ape,ape
central chimpanzee,chimpanzee,great ape,anthropoid ape,ape
pygmy chimpanzee,chimpanzee,great ape,anthropoid ape,ape
silky tamarin,tamarin,marmoset,New World monkey,monkey
pinche,tamarin,marmoset,New World monkey,monkey
Latinae,subfamily,taxonomic group,biological group,group
thick skin,skin,body covering,covering,natural object
abacus,tablet,slab,block,artifact
Abney level,surveyor's level,surveying instrument,instrument,device
accessory,clothing,consumer goods,commodity,artifact
accommodation ladder,sea ladder,ladder,stairs,stairway
accordion,free-reed instrument,wind instrument,musical instrument,device
achromatic lens,compound lens,lens,optical device,device
acoustic delay line,delay line,circuit,electrical device,device
acoustic guitar,guitar,stringed instrument,musical instrument,device
aerial ladder,extension ladder,ladder,stairs,stairway
agateware,pottery,ceramic ware,utensil,implement
air base,base,military installation,facility,artifact
airbus,airliner,airplane,heavier-than-air craft,aircraft
aircraft engine,engine,motor,machine,device
air gun,gun,weapon,instrument,device
air terminal,terminal,station,facility,artifact
air-to-air missile,missile,weapon,instrument,device
air-to-ground missile,missile,weapon,instrument,device
alcohol thermometer,thermometer,measuring instrument,instrument,device
alprazolam,benzodiazepine,muscle relaxant,relaxant,drug
American organ,free-reed instrument,wind instrument,musical instrument,device
amobarbital,truth serum,intravenous anesthetic,anesthetic,drug
amphibian,motor vehicle,self-propelled vehicle,wheeled vehicle,container
anemometer,gauge,measuring instrument,instrument,device
aneroid barometer,barometer,measuring instrument,instrument,device
antiaircraft,gun,weapon,instrument,device
antifouling paint,paint,coloring material,material,substance
apparel,clothing,consumer goods,commodity,artifact
arc lamp,electric lamp,lamp,source of illumination,device
arena theater,theater,building,structure,artifact
armored car,armored vehicle,self-propelled vehicle,wheeled vehicle,container
armored personnel carrier,armored vehicle,self-propelled vehicle,wheeled vehicle,container
army base,base,military installation,facility,artifact
arthroscope,endoscope,medical instrument,instrument,device
artificial heart,implant,prosthesis,corrective,device
artificial joint,implant,prosthesis,corrective,device
artificial kidney,dialyzer,medical instrument,instrument,device
assegai,spear,weapon,instrument,device
atomic clock,timepiece,measuring instrument,instrument,device
attire,clothing,consumer goods,commodity,artifact
auction block,platform,horizontal surface,surface,artifact
automat,vending machine,slot machine,machine,device
automobile engine,engine,motor,machine,device
auxiliary engine,engine,motor,machine,device
backpacking tent,tent,shelter,structure,artifact
balalaika,chordophone,stringed instrument,musical instrument,device
ballistic missile,missile,weapon,instrument,device
ballistic pendulum,physical pendulum,pendulum,apparatus,equipment
balloon sail,sail,piece of cloth,fabric,artifact
bandanna,handkerchief,piece of cloth,fabric,artifact
bandsaw,power saw,power tool,machine,device
bandstand,platform,horizontal surface,surface,artifact
bar mask,catcher's mask,baseball equipment,sports equipment,equipment
barn,farm building,building,structure,artifact
barograph,barometer,measuring instrument,instrument,device
bass drum,drum,percussion instrument,musical instrument,device
basuco,cocaine,hard drug,controlled substance,drug
beach house,house,building,structure,artifact
beach towel,towel,piece of cloth,fabric,artifact
beachwear,clothing,consumer goods,commodity,artifact
bead,jewelry,adornment,decoration,artifact
bearing rein,rein,strap,leather strip,implement
beating-reed instrument,woodwind,wind instrument,musical instrument,device
bedsitting room,apartment,housing,structure,artifact
beer garden,tavern,building,structure,artifact
bell deck,floor,horizontal surface,surface,artifact
bell tent,tent,shelter,structure,artifact
bentwood,wood,plant material,material,substance
bethel,place of worship,building,structure,artifact
bifocals,spectacles,optical instrument,instrument,device
big H,heroin,opiate,narcotic,drug
bijou,jewelry,adornment,decoration,artifact
bioweapon,weapon of mass destruction,weapon,instrument,device
birdcage mask,catcher's mask,baseball equipment,sports equipment,equipment
bistro,restaurant,building,structure,artifact
bling,jewelry,adornment,decoration,artifact
blockhouse,stronghold,defensive structure,structure,artifact
bloodmobile,motor vehicle,self-propelled vehicle,wheeled vehicle,container
boarding house,house,building,structure,artifact
board rule,measuring stick,measuring instrument,instrument,device
body plethysmograph,plethysmograph,measuring instrument,instrument,device
boiling water reactor,water-cooled reactor,nuclear reactor,apparatus,equipment
bomb calorimeter,calorimeter,measuring instrument,instrument,device
bombsight,sights,optical instrument,instrument,device
bongo,drum,percussion instrument,musical instrument,device
boomerang,projectile,weapon,instrument,device
boron chamber,ionization chamber,measuring instrument,instrument,device
bottling plant,plant,building complex,structure,artifact
bradawl,awl,hand tool,tool,implement
brasserie,restaurant,building,structure,artifact
breakwater,barrier,obstruction,structure,artifact
breast implant,implant,prosthesis,corrective,device
breast pocket,pocket,pouch,bag,container
breeches buoy,life buoy,life preserver,rescue equipment,equipment
breechloader,gun,weapon,instrument,device
brewery,plant,building complex,structure,artifact
bric-a-brac,curio,object,physical entity,entity
brickkiln,kiln,furnace,chamber,enclosure
brick trowel,trowel,hand tool,tool,implement
brigandine,chain mail,body armor,armor,protective covering
broadsword,sword,weapon,instrument,device
buggy whip,horsewhip,whip,instrument,device
bulldozer,tractor,self-propelled vehicle,wheeled vehicle,container
bullet,projectile,weapon,instrument,device
bulletin board system,digital computer,computer,machine,device
bungalow,house,building,structure,artifact
bunsen burner,gas burner,burner,apparatus,equipment
buspirone,minor tranquilizer,tranquilizer,sedative-hypnotic,sedative
bus terminal,terminal,station,facility,artifact
cabana,tent,shelter,structure,artifact
cafe,restaurant,building,structure,artifact
cafeteria,restaurant,building,structure,artifact
camcorder,television camera,television equipment,electronic equipment,equipment
campanile,bell tower,tower,structure,artifact
candelabrum,candlestick,holder,holding device,device
candlepin,bowling pin,bowling equipment,game equipment,equipment
candy thermometer,thermometer,measuring instrument,instrument,device
cannonball,projectile,weapon,instrument,device
canvas tent,tent,shelter,structure,artifact
capitol,government building,building,structure,artifact
car,motor vehicle,self-propelled vehicle,wheeled vehicle,container
carillon,chime,percussion instrument,musical instrument,device
carpet loom,loom,textile machine,machine,device
cascade transformer,step-up transformer,transformer,electrical device,device
cash register,cashbox,strongbox,box,container
catwalk,platform,horizontal surface,surface,artifact
cavalry sword,sword,weapon,instrument,device
cavity wall,wall,partition,structure,artifact
cello,bowed stringed instrument,stringed instrument,musical instrument,device
Centigrade thermometer,thermometer,measuring instrument,instrument,device
chafing dish,cooking utensil,kitchen utensil,utensil,implement
chain saw,power saw,power tool,machine,device
chalet,house,building,structure,artifact
chancellery,government building,building,structure,artifact
chandlery,candle,lamp,source of illumination,device
chapel,place of worship,building,structure,artifact
charnel house,vault,burial chamber,chamber,enclosure
chemical weapon,weapon of mass destruction,weapon,instrument,device
chicken coop,farm building,building,structure,artifact
chimney breast,wall,partition,structure,artifact
Chinese lantern,lantern,lamp,source of illumination,device
chlordiazepoxide,benzodiazepine,muscle relaxant,relaxant,drug
chloroform,inhalation anesthetic,general anesthetic,anesthetic,drug
choo-choo,locomotive,self-propelled vehicle,wheeled vehicle,container
circular saw,power saw,power tool,machine,device
cittern,guitar,stringed instrument,musical instrument,device
civilian clothing,clothing,consumer goods,commodity,artifact
cliff dwelling,dwelling,housing,structure,artifact
clipboard,writing board,work surface,surface,artifact
clock,timepiece,measuring instrument,instrument,device
clock pendulum,physical pendulum,pendulum,apparatus,equipment
closeup lens,camera lens,lens,optical device,device
clozapine,major tranquilizer,tranquilizer,sedative-hypnotic,sedative
coach house,outbuilding,building,structure,artifact
coat of paint,paint,coloring material,material,substance
cold-water flat,apartment,housing,structure,artifact
collectible,curio,object,physical entity,entity
collector's item,curio,object,physical entity,entity
colonoscope,endoscope,medical instrument,instrument,device
computerized axial tomography scanner,tomograph,X-ray machine,apparatus,equipment
condominium,dwelling,housing,structure,artifact
control circuit,feedback circuit,circuit,electrical device,device
cooker,cooking utensil,kitchen utensil,utensil,implement
cookie sheet,cooking utensil,kitchen utensil,utensil,implement
cottage tent,tent,shelter,structure,artifact
countertop,tabletop,work surface,surface,artifact
country house,house,building,structure,artifact
courthouse,government building,building,structure,artifact
crash barrier,barrier,obstruction,structure,artifact
crematory,morgue,building,structure,artifact
cross bit,bore bit,drill,tool,implement
crossjack,sail,piece of cloth,fabric,artifact
crow's nest,platform,horizontal surface,surface,artifact
cryometer,thermometer,measuring instrument,instrument,device
crystal counter,counter tube,measuring instrument,instrument,device
cue ball,billiard ball,ball,game equipment,equipment
cufflink,jewelry,adornment,decoration,artifact
culdoscope,endoscope,medical instrument,instrument,device
culverin,cannon,artillery,armament,weaponry
curette,surgical instrument,medical instrument,instrument,device
customhouse,government building,building,structure,artifact
cutlas,sword,weapon,instrument,device
cyclopean masonry,stonework,masonry,structure,artifact
cyclopropane,inhalation anesthetic,general anesthetic,anesthetic,drug
dais,platform,horizontal surface,surface,artifact
dam,barrier,obstruction,structure,artifact
dance floor,floor,horizontal surface,surface,artifact
dark lantern,lantern,lamp,source of illumination,device
dart,projectile,weapon,instrument,device
dasymeter,densimeter,measuring instrument,instrument,device
day nursery,nursery,child's room,bedroom,room
decal,transfer paper,paper,material,substance
deck,platform,horizontal surface,surface,artifact
deep-freeze,electric refrigerator,refrigerator,white goods,home appliance
defilade,fortification,defensive structure,structure,artifact
delft,earthenware,ceramic ware,utensil,implement
dental implant,implant,prosthesis,corrective,device
depth gauge,gauge,measuring instrument,instrument,device
dermatome,surgical instrument,medical instrument,instrument,device
detached house,house,building,structure,artifact
diazepam,benzodiazepine,muscle relaxant,relaxant,drug
Dictaphone,tape recorder,magnetic recorder,recorder,equipment
diesel locomotive,locomotive,self-propelled vehicle,wheeled vehicle,container
differential analyzer,analog computer,computer,machine,device
digital plethysmograph,plethysmograph,measuring instrument,instrument,device
digitoxin,digitalis,cardiac glycoside,steroid,organic compound
digoxin,digitalis,cardiac glycoside,steroid,organic compound
dimmer,rheostat,resistor,electrical device,device
dinky,locomotive,self-propelled vehicle,wheeled vehicle,container
dinner theater,theater,building,structure,artifact
diphenylbutyl piperidine,major tranquilizer,tranquilizer,sedative-hypnotic,sedative
diplomatic building,government building,building,structure,artifact
diplomatic pouch,mailbag,pouch,bag,container
dipstick,gauge,measuring instrument,instrument,device
dishtowel,towel,piece of cloth,fabric,artifact
distillery,plant,building complex,structure,artifact
dive bomber,bomber,airplane,heavier-than-air craft,aircraft
dogcart,cart,wagon,wheeled vehicle,container
dollhouse,house,building,structure,artifact
doodlebug,motor vehicle,self-propelled vehicle,wheeled vehicle,container
Doppler radar,radar,measuring instrument,instrument,device
double-prop,propeller plane,airplane,heavier-than-air craft,aircraft
douche,syringe,medical instrument,instrument,device
dressing station,first-aid station,station,facility,artifact
electric drill,power drill,power tool,machine,device
dropper,pipet,measuring instrument,instrument,device
dry-bulb thermometer,thermometer,measuring instrument,instrument,device
dry kiln,kiln,furnace,chamber,enclosure
duckpin,bowling pin,bowling equipment,game equipment,equipment
dudeen,clay pipe,pipe,tube,conduit
dumpcart,cart,wagon,wheeled vehicle,container
Dumpy level,surveyor's level,surveying instrument,instrument,device
dune buggy,recreational vehicle,self-propelled vehicle,wheeled vehicle,container
duplex apartment,apartment,housing,structure,artifact
duplex house,house,building,structure,artifact
early warning radar,radar,measuring instrument,instrument,device
earphone,electro-acoustic transducer,transducer,electrical device,device
earring,jewelry,adornment,decoration,artifact
efficiency apartment,apartment,housing,structure,artifact
eight ball,pool ball,ball,game equipment,equipment
electric-discharge lamp,electric lamp,lamp,source of illumination,device
electric guitar,guitar,stringed instrument,musical instrument,device
electric locomotive,locomotive,self-propelled vehicle,wheeled vehicle,container
electromagnetic delay line,delay line,circuit,electrical device,device
enamelware,cooking utensil,kitchen utensil,utensil,implement
encaustic,paint,coloring material,material,substance
entrenchment,fortification,defensive structure,structure,artifact
estazolam,benzodiazepine,muscle relaxant,relaxant,drug
explosive compound,explosive,chemical,material,substance
explosive mixture,explosive,chemical,material,substance
factory,plant,building complex,structure,artifact
Fahrenheit thermometer,thermometer,measuring instrument,instrument,device
faience,earthenware,ceramic ware,utensil,implement
falchion,sword,weapon,instrument,device
fanjet,jet,airplane,heavier-than-air craft,aircraft
fanny pack,waist pack,pouch,bag,container
farmhouse,house,building,structure,artifact
fence,barrier,obstruction,structure,artifact
fencing sword,sword,weapon,instrument,device
fender,barrier,obstruction,structure,artifact
fetoscope,stethoscope,medical instrument,instrument,device
fieldwork,fortification,defensive structure,structure,artifact
figure loom,loom,textile machine,machine,device
figure skate,ice skate,skate,sports equipment,equipment
file server,digital computer,computer,machine,device
finger paint,paint,coloring material,material,substance
firearm,gun,weapon,instrument,device
firebase,base,military installation,facility,artifact
fire tower,watchtower,tower,structure,artifact
fixer-upper,dwelling,housing,structure,artifact
flare path,airstrip,airfield,facility,artifact
flashlight,electric lamp,lamp,source of illumination,device
flatlet,apartment,housing,structure,artifact
flat tip screwdriver,screwdriver,hand tool,tool,implement
fleabag,hotel,building,structure,artifact
floatplane,seaplane,airplane,heavier-than-air craft,aircraft
flue pipe,organ pipe,wind instrument,musical instrument,device
fluphenazine,major tranquilizer,tranquilizer,sedative-hypnotic,sedative
flurazepam,minor tranquilizer,tranquilizer,sedative-hypnotic,sedative
flute,woodwind,wind instrument,musical instrument,device
fly gallery,platform,horizontal surface,surface,artifact
flying boat,seaplane,airplane,heavier-than-air craft,aircraft
fly tent,tent,shelter,structure,artifact
footboard,platform,horizontal surface,surface,artifact
footplate,platform,horizontal surface,surface,artifact
footwear,clothing,consumer goods,commodity,artifact
fore-and-aft sail,sail,piece of cloth,fabric,artifact
forecastle,living quarters,housing,structure,artifact
foresail,sail,piece of cloth,fabric,artifact
foretop,platform,horizontal surface,surface,artifact
four-wheel drive,motor vehicle,self-propelled vehicle,wheeled vehicle,container
French roof,mansard,curb roof,roof,protective covering
fresco,mural,painting,graphic art,art
frontage road,local road,street,thoroughfare,road
funeral home,morgue,building,structure,artifact
gable,wall,partition,structure,artifact
gallows tree,gallows,instrument of execution,instrument,device
gangplank,footbridge,bridge,structure,artifact
gangsaw,power saw,power tool,machine,device
garage,outbuilding,building,structure,artifact
garden trowel,trowel,hand tool,tool,implement
garment,clothing,consumer goods,commodity,artifact
garrison,military post,military installation,facility,artifact
gas gun,gun,weapon,instrument,device
gas maser,maser,amplifier,electronic equipment,equipment
gasoline gauge,gauge,measuring instrument,instrument,device
gasoline station,service station,station,facility,artifact
gas ring,gas burner,burner,apparatus,equipment
gas thermometer,thermometer,measuring instrument,instrument,device
gastroscope,endoscope,medical instrument,instrument,device
gatehouse,house,building,structure,artifact
Geiger counter,counter tube,measuring instrument,instrument,device
Geiger tube,ionization chamber,measuring instrument,instrument,device
girandole,candlestick,holder,holding device,device
glyptic art,carving,sculpture,plastic art,art
goggles,spectacles,optical instrument,instrument,device
go-kart,motor vehicle,self-propelled vehicle,wheeled vehicle,container
